timeid,fig_dataset,fig_no,rpm_percentage,me_sfoc
5098565,0,F02-1,0.77,209.07
5098565,0,F02-1,0.77,209.07
5098566,0,F02-1,0.77,208.14
5098566,0,F02-1,0.77,208.14
5098567,0,F02-1,0.77,209.29
5098567,0,F02-1,0.77,209.29
5098568,0,F02-1,0.77,208.45
5098568,0,F02-1,0.77,208.45
5098569,0,F02-1,0.77,208.68
5098569,0,F02-1,0.77,208.68
5098570,0,F02-1,0.77,209.28
5098570,0,F02-1,0.77,209.28
5098571,0,F02-1,0.77,208.9
5098571,0,F02-1,0.77,208.9
5098572,0,F02-1,0.77,207.74
5098572,0,F02-1,0.77,207.74
5098573,0,F02-1,0.77,208.55
5098573,0,F02-1,0.77,208.55
5098574,0,F02-1,0.77,208.73
5098574,0,F02-1,0.77,208.73
5098575,0,F02-1,0.77,208.57
5098575,0,F02-1,0.77,208.57
5098576,0,F02-1,0.77,209.42
5098576,0,F02-1,0.77,209.42
5098577,0,F02-1,0.77,208.32
5098577,0,F02-1,0.77,208.32
5098578,0,F02-1,0.77,208.94
5098578,0,F02-1,0.77,208.94
5098579,0,F02-1,0.77,208.18
5098579,0,F02-1,0.77,208.18
5098580,0,F02-1,0.77,208.4
5098580,0,F02-1,0.77,208.4
5098581,0,F02-1,0.77,208.57
5098581,0,F02-1,0.77,208.57
5098582,0,F02-1,0.77,208.47
5098582,0,F02-1,0.77,208.47
5098583,0,F02-1,0.77,208.91
5098583,0,F02-1,0.77,208.91
5098584,0,F02-1,0.77,208.17
5098584,0,F02-1,0.77,208.17
5098585,0,F02-1,0.77,207.37
5098585,0,F02-1,0.77,207.37
5098586,0,F02-1,0.77,208.12
5098586,0,F02-1,0.77,208.12
5098587,0,F02-1,0.77,207.97
5098587,0,F02-1,0.77,207.97
5098588,0,F02-1,0.77,232.4
5098588,0,F02-1,0.77,232.4
5098589,0,F02-1,0.77,250.55
5098589,0,F02-1,0.77,250.55
5098590,0,F02-1,0.77,207.72
5098590,0,F02-1,0.77,207.72
5098591,0,F02-1,0.77,207.78
5098591,0,F02-1,0.77,207.78
5098592,0,F02-1,0.77,208.74
5098592,0,F02-1,0.77,208.74
5098593,0,F02-1,0.77,207.04
5098593,0,F02-1,0.77,207.04
5098594,0,F02-1,0.77,208.54
5098594,0,F02-1,0.77,208.54
5098595,0,F02-1,0.77,207.42
5098595,0,F02-1,0.77,207.42
5098596,0,F02-1,0.77,208.4
5098596,0,F02-1,0.77,208.4
5098597,0,F02-1,0.77,208.75
5098597,0,F02-1,0.77,208.75
5098598,0,F02-1,0.77,208.44
5098598,0,F02-1,0.77,208.44
5098599,0,F02-1,0.77,208.36
5098599,0,F02-1,0.77,208.36
5098600,0,F02-1,0.77,209.01
5098600,0,F02-1,0.77,209.01
5098601,0,F02-1,0.77,208.48
5098601,0,F02-1,0.77,208.48
5098602,0,F02-1,0.77,208.26
5098602,0,F02-1,0.77,208.26
5098603,0,F02-1,0.77,207.74
5098603,0,F02-1,0.77,207.74
5098604,0,F02-1,0.77,208.47
5098604,0,F02-1,0.77,208.47
5098605,0,F02-1,0.77,207.96
5098605,0,F02-1,0.77,207.96
5098606,0,F02-1,0.77,208.4
5098606,0,F02-1,0.77,208.4
5098607,0,F02-1,0.77,208.19
5098607,0,F02-1,0.77,208.19
5098608,0,F02-1,0.77,208.21
5098608,0,F02-1,0.77,208.21
5098609,0,F02-1,0.77,207.66
5098609,0,F02-1,0.77,207.66
5098610,0,F02-1,0.77,208.51
5098610,0,F02-1,0.77,208.51
